IC,Label
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,2
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,2
29,1
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,3
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,3
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
