IC,Label
1,0
2,1
3,0
4,1
5,0
6,0
7,1
8,1
9,3
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,3
35,1
36,1
37,1
38,1
39,3
40,3
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,3
59,1
60,2
61,1
62,1
63,1
64,3
65,0
66,1
67,0
68,0
69,3
70,1
71,1
72,3
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,3
83,3
84,0
85,3
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,3
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,3
110,0
111,0
112,0
113,0
114,0
